,sgRNA,Lib36_gDNA,Lib36_sorted1,Lib36_sorted2,Lib66_sorted1,Lib66_sorted2,Lib66_gDNA
35,Entry511_37,0.00011901190171561045,0.0,0.0,3.2694898009722365e-05,3.261606307131196e-05,8.517502703426626e-05
36,sll0154_5,9.000767666173979e-05,0.0,0.0,1.845157610449678e-05,4.043032818214713e-05,0.00012984789213820136
37,Entry1766_35,5.748301124806967e-05,0.0,0.0,6.603721974240952e-05,7.032838599751643e-05,9.129205835555198e-06
38,sll0922_6,5.84288011954785e-05,0.0,0.0,9.905582961361428e-05,0.0,5.699961003925327e-05
39,Entry398_23,0.00016982183944585117,0.0003831075195522231,0.0,0.0,1.970553810558431e-05,8.772379008480199e-05
41,cmpB_4,2.0965010500895607e-05,0.0,0.0,0.0,0.0,2.4560807577889617e-06
42,yefA_79,7.692424905591772e-05,0.0,0.0,2.9457779394898365e-05,0.0,0.00010023589960561368
43,sll1654_98,8.422784920535254e-05,7.443384258709627e-05,0.0,0.0002534663875407189,0.0,4.875088598479222e-05
44,ssl1911_59,0.00025825319952857623,0.0,0.0,0.0005247369274629697,0.00012638724440133386,0.000363082881835406
46,Entry1134_42,0.0001696642077879497,0.0,0.00023638292727031092,0.0002660911501385325,0.00010566245432477105,0.00028652730802658776
47,slr0697_20,7.398179144175695e-05,0.0009676399536322516,0.0,0.0,1.3929776936706153e-05,0.0001426843896836267
48,sll1052_61,0.00010955400224152216,0.0,0.00013652838810082474,0.0,1.596828087866315e-05,0.0002243838307398897
49,ndhF_43,0.00013120208325999086,0.0,0.0,1.748044052004958e-05,1.7327283506634478e-05,0.00012655767074569162
52,Entry533_36,5.091502550217506e-05,3.494922358032119e-05,3.8852493422309176e-05,0.0,0.0,3.382903685256495e-05
53,Entry125_33,8.443802474922117e-05,0.0,0.0,1.9422711688943975e-05,1.8006784820620147e-05,3.8787539514516246e-05
55,ssr6062_81,0.00011554400524177806,0.0,0.0004404492945912245,1.1977338874848786e-05,0.0,4.295824268812015e-05
56,sll1673_59,8.738048236338195e-05,0.0,0.0004876532585622544,6.0210406235726334e-05,0.0,0.00010153345170406822
57,slr0583_64,0.00013813787620765554,0.0,6.499622731395648e-05,8.092796537059991e-05,0.00010736120760973522,0.00012400890769515588
59,sll1334_149,3.714852737877994e-05,0.0,0.0,7.866198234022309e-05,0.0,1.6034036645188314e-05
60,sll1219_47,7.014608776615448e-05,0.0,0.0,2.330725402673277e-05,0.0,6.733368568051626e-05
61,sll1965_76,5.811353787967555e-05,0.0,4.720396397102984e-05,9.808469402916708e-05,0.0,5.125330788895457e-05
62,slr7094_34,9.80468912147148e-05,0.0,0.0,0.00028939840416526534,0.0,5.231915425554223e-05
63,ssl5114_23,0.00024995126554576544,0.0003174776798517726,0.00010602736522723624,0.00021526838788579576,3.0577559129354966e-05,5.241183654828898e-05
64,slr0427_76,5.559143135325202e-05,0.0,0.0,2.330725402673277e-05,6.455262482863827e-05,0.00011807724095936367
65,slr0356_153,0.00010324873592546335,0.00034735793207311586,4.6114641725544536e-05,0.0,0.0,5.7787409527600675e-05
66,Entry1263_12,8.35447786877795e-05,0.00012005458481789719,0.00013689149551598652,0.0,0.0,5.069721413247405e-05
67,Entry1198_28,1.5132639158541193e-05,0.0,0.0,0.0,0.0,1.2604791813558446e-05
69,rfbB_56,0.0001398718244445717,0.0,0.0001917207152054135,0.0002110601336865245,6.353337285765976e-05,0.00019314989808423384
70,slr1702_4,0.00011165575768020845,0.0,0.0,8.77259144617303e-05,2.242354336152697e-05,0.00012136746235187344
71,pepP_6,8.35447786877795e-05,0.0,0.0,1.683301679708478e-05,5.639860906081027e-05,7.854824310287341e-05
72,Entry218_29,7.282582595047949e-05,0.0,0.0,1.812786424301438e-05,0.0,5.5748399087172105e-05
73,topA_27,7.314108926628243e-05,0.0,0.0006125622093779026,4.014027082381755e-05,0.0,2.3494961211301958e-05
74,rbcR_61,0.00016630139908605166,0.0,0.0004956416216958133,0.0,1.7327283506634478e-05,0.00011080168097874355
75,Entry202_4,4.0616423852612295e-05,0.0,0.0,0.0,0.0,3.053881546005521e-05
76,slr1902_118,8.753811402128342e-05,0.0010103260282341704,0.0,8.513621956987111e-05,4.144958015312562e-05,3.790705773342209e-05
77,slr1520_88,7.671407351204911e-05,0.0,0.00012091476924886872,0.0,0.0,6.733368568051626e-05
78,rfbD2_86,0.0002121196676494125,0.0,0.002477481893648743,0.0004020501319611404,0.0001053227036677782,0.0004282385336363736
79,sll1268_11,7.776495123139222e-05,0.0007232621765362651,0.00030682576581169394,0.00023080655723695093,0.0,8.471161557053249e-05
80,Entry406_69,0.00010682172017123001,0.0,0.00033587435902463533,9.452386355286068e-05,0.0005459793057874826,5.389475323223704e-05
81,slr0780_9,0.00010766242234670451,0.0,0.0,5.373616900607834e-05,7.406564322443758e-05,0.0001361039468986072
82,sll1407_138,0.0004930718259158006,0.0016687587289687712,0.0,0.0005940112658202032,0.0002836917985890156,0.0006661539791172893
83,Entry861_6,4.7236953484474074e-05,3.815067917546512e-05,0.0,9.452386355286068e-05,0.0,5.268988342652924e-05
86,sll1884_3,2.921440059773925e-05,0.0,0.0,0.0,0.0,4.2494831224386377e-05
87,ssr1766_74,0.00012773418678615846,0.0,9.586035760270674e-05,1.5861881212637582e-05,1.5628530221670315e-05,0.00014708679858909746
88,ackA_8,7.965653112620989e-05,0.0,0.0,5.6002152036455125e-05,7.814265110835159e-05,4.671187554436365e-05
89,Entry1194_6,1.1191847711004423e-05,0.0,0.0,0.0,0.0,6.256054760405847e-06
90,Entry1194_4,1.3241059263723544e-05,0.0,0.0,0.0,0.0,6.673125077766236e-06
91,msrA_34,0.00017365754312145362,7.523420648588224e-05,0.0,8.44887958469063e-05,0.0003380519037078688,0.0002644225812064871
92,Entry1425_6,9.358066090750648e-05,0.00032014555951439253,0.0,0.00010002696519806147,2.751980321641947e-05,3.3041237364217546e-05
93,sll1304_11,6.877994673100841e-05,0.0,0.0,0.0,0.0,1.9277916891324687e-05
94,Entry1912_59,0.000124896816943932,0.0,7.443702010816244e-05,0.0,1.2570774308734821e-05,4.22631254925195e-05
95,Entry2030_65,4.749967291430985e-05,0.0,0.0,0.0,0.0,6.88629435108377e-05
96,Entry755_47,9.021785220560843e-05,0.0,0.0,0.0002787159127363461,0.0,7.127268312225327e-05
