	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2
cysE_87	1	0	0	0
aslB_28	1	0	0	0
ssl7074_62	0	1	0	0
slr6041_148	0	0	1	0
slr6045_101	0	0	1	0
slr6047_101	0	1	0	0
slr6049_137	0	1	0	0
slr1019_10	0	1	0	0
slr0544_32	0	1	0	0
sll0647_16	0	1	1	0
sll0647_4	1	0	0	0
ssr1853_125	1	0	0	0
uvrD_3	1	1	0	0
uvrC_62	0	1	0	0
uvrB_39	0	1	0	0
uvrA_3	0	0	1	0
uvrA_20	0	0	1	0
gst1_28	0	0	0	1
gst1_47	1	0	0	0
slr0888_5	0	1	0	0
tktA_58	0	0	1	0
slr0551_19	0	0	1	0
slr0552_15	0	0	0	1
ssr0109_12	0	0	0	1
ssr0109_46	0	0	0	1
slr0554_8	0	0	1	0
slr0554_24	0	1	0	0
slr0556_41	1	0	0	0
slr6097_330	0	0	0	1
slr6094_41	0	0	0	1
slr6091_183	0	1	1	0
clpB2_58	1	0	0	0
lytB_41	1	1	0	0
slr0169_14	1	0	0	0
slr0168_16	0	0	1	0
slr0168_32	1	0	0	0
ssr7072_111	0	1	1	0
slr1957_97	0	0	1	0
slr1957_43	0	0	1	0
slr1956_19	0	0	0	1
pheS_31	0	1	0	1
sll1512_25	1	1	0	0
htpG_50	0	0	1	0
slr1495_40	0	0	0	1
ssl8024_25	0	0	1	0
thrA_69	0	0	1	0
sll1188_172	0	0	1	0
sll1188_76	0	0	1	0
slr1946_82	1	1	0	0
livH_64	0	0	1	0
slr0305_121	0	1	0	0
umpS_13	0	0	1	0
TU2529_4	0	0	0	1
slr0306_77	0	1	0	0
slr0309_12	0	1	0	0
sll1503_13	1	1	1	0
sll1507_62	1	0	0	0
sll1504_82	0	1	0	0
sll1505_20	0	0	1	0
xerC_38	0	0	1	0
sll5026_225	0	1	1	0
sll1982_123	1	0	0	0
ssr2439_32	1	0	0	0
sll1988_8	1	0	0	1
im30_2_72	0	0	1	0
slr1546_78	1	0	0	0
slr1547_49	0	0	1	0
slr1541_4	1	0	0	0
slr1542_35	0	0	1	0
cad_8	0	0	1	0
purU_13	0	0	1	1
sps_82	0	1	0	0
sps_38	0	0	1	0
slr8036_31	0	0	1	0
purF_45	0	0	0	1
purK_61	0	0	1	0
purM_53	0	1	0	0
purM_118	0	1	0	0
ssl7042_34	0	0	0	1
ssl7045_112	0	0	1	0
ssl7046_96	0	0	1	0
ssr0692_41	0	0	1	1
sll0494_132	0	0	1	0
sll0494_111	0	1	0	0
divK_62	0	1	0	1
slr1790_3	1	0	0	0
spoU_28	0	0	0	1
spoU_6	0	0	1	0
sll0007_10	0	0	1	0
fabG3_76	0	0	1	0
fabG2_112	0	0	0	1
fabG2_83	1	0	0	0
slr1376_8	0	1	0	0
hisC2_69	0	1	0	0
cobW_11	1	0	0	0
cytM_4	0	0	0	1
cobA_10	1	0	0	1
cobN_21	1	0	0	0
slr1205_14	0	0	1	0
sll7075_52	0	0	0	1
sll1663_62	0	0	1	0
ssr3571_39	0	1	0	1
slr1807_32	0	0	1	0
sll0224_57	1	0	0	0
sll0224_13	0	0	0	1
slr1800_34	0	0	1	1
slr0820_48	0	0	1	0
slr0822_8	0	1	0	0
slr1298_129	1	0	0	0
slr1298_37	0	1	0	0
ssr2998_35	0	0	1	1
ssl2781_40	0	1	0	0
argH_159	0	0	0	1
argJ_99	0	1	1	0
argJ_15	0	1	0	0
argB_34	0	0	1	0
sll0048_7	1	0	0	0
sll1268_11	1	1	0	0
sll1267_80	0	1	0	0
sll0041_4	0	0	0	1
sll1263_16	0	0	1	0
sll1262_80	0	0	1	0
ssr2194_31	1	1	0	0
glnH/glnP_23	1	0	0	0
slr0959_147	0	1	1	0
slr1557_18	0	1	0	0
degT_20	0	1	0	0
sll1664_44	0	0	0	1
slr0053_67	0	1	0	0
slr1413_62	1	0	0	1
sll7106_140	0	1	0	0
sll7103_176	0	1	0	0
slr1972_37	0	0	1	0
sll1407_138	1	0	0	0
slr1978_45	0	1	0	0
sll0912_127	0	0	1	0
sll0913_58	0	0	0	1
serA_10	0	1	1	0
slr0316_111	0	0	1	1
slr0315_61	1	0	0	0
alaS_4	0	0	1	0
pma1_29	0	0	0	1
spoIID_71	0	1	0	0
nrtD3_25	1	0	0	0
ssr5074_149	0	1	0	0
sll0301_81	0	0	0	1
kdpD_5	0	1	0	0
slr0904_43	0	1	0	0
ssl5125_74	0	1	0	0
ssl5125_95	0	0	1	0
sll1531_9	0	0	1	0
sll1530_47	0	0	1	0
sll1537_3	0	1	0	0
slr1140_110	1	0	0	0
slr1142_17	0	1	0	1
slr1143_72	0	1	0	0
slr1148_8	0	0	0	1
slr1149_21	0	1	0	0
slr1787_48	0	1	0	0
slr1787_27	1	0	0	0
slr1788_122	1	0	0	0
slr0495_6	0	0	1	0
slr0496_9	0	0	1	0
slr0496_31	0	1	0	0
slr0553_7	0	1	0	0
leuC_57	0	0	0	1
hisS2_8	0	0	1	0
hisS2_39	0	0	0	1
ssb_17	0	0	1	0
slr5040_305	0	0	0	1
slr0765_159	0	0	0	1
hisF_80	0	1	0	0
hisF_96	0	1	0	0
hisG_18	0	1	0	0
hisA_68	1	0	0	1
psaI_10	0	1	0	0
psaI_66	1	0	0	0
ycf22_2_30	0	0	0	1
psaF_54	0	0	1	0
psaB_38	0	0	1	0
rfbA2_15	0	0	1	1
ssr0761_16	1	0	0	0
sll0754_34	0	1	0	0
sll0754_7	0	1	1	0
hlyB2_238	0	0	1	0
sll5036_42	1	0	0	0
slr6031_335	0	0	1	0
gdhA_25	1	1	1	1
sll1863_10	1	0	0	0
sll1863_55	0	0	1	0
sll1862_138	0	1	0	1
slr0607_80	0	1	0	0
slr0600_10	0	0	0	1
sll5030_7	0	1	0	0
sll1060_3	0	0	0	1
sll1062_64	0	0	1	0
ssl1552_8	0	0	1	0
psaK_34	0	0	1	0
sll1319_158	0	0	1	1
sll1086_11	0	1	0	0
sll1081_34	0	1	0	0
sll1080_33	1	0	0	0
slr0039_4	0	1	0	0
sll1089_55	0	0	1	0
slr1572_16	0	1	0	0
slr1572_53	0	0	0	1
slr1577_29	0	0	0	1
gyrB_4	0	0	0	1
slr8021_52	0	0	1	1
slr8022_7	1	0	1	0
slr0788_31	1	0	0	0
sll1886_12	1	0	0	0
sll1882_6	1	0	1	0
sll1880_112	0	1	0	0
slr0149_9	1	0	0	0
slr0149_25	0	0	1	0
slr0148_34	1	1	0	0
slr0148_4	0	1	0	0
slr0147_56	0	0	0	1
slr0146_34	1	0	0	0
slr0142_106	0	0	1	0
ssl5008_73	1	0	0	0
map2_5	1	0	0	0
ssr5020_66	0	1	0	0
sll1151_59	0	1	0	0
sll8032_8	1	0	0	0
sll1631_9	1	0	0	0
sll1631_20	0	1	1	0
slr1363_97	0	0	1	0
sll1308_49	0	1	0	0
sll1308_10	0	0	0	1
manA_11	0	0	1	1
ssl2559_136	0	0	1	0
ssl2559_42	0	0	1	0
glcP_18	1	0	0	0
slr1214_17	0	0	1	0
slr1215_29	1	0	0	0
slr1213_7	0	1	0	0
glcD_13	0	1	0	0
glcE_33	0	1	0	0
sll7047_27	0	0	1	1
sll0219_9	1	0	0	0
sll0218_39	0	1	0	0
