sgRNA	Lib36_gDNA	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2	Lib66_gDNA
Entry15_3	4.6816602396736816e-05	0.0	0.00043173471662734213	0.00012301050736331185	0.0	3.600707073211365e-05
Entry511_37	0.00011901190171561043	0.0	0.0	3.2694898009722365e-05	3.261606307131196e-05	8.517502703426626e-05
sll0154_5	9.00076766617398e-05	0.0	0.0	1.845157610449678e-05	4.0430328182147125e-05	0.00012984789213820136
Entry1766_35	5.748301124806967e-05	0.0	0.0	6.603721974240952e-05	7.032838599751643e-05	9.129205835555198e-06
sll0922_6	5.8428801195478495e-05	0.0	0.0	9.905582961361429e-05	0.0	5.6999610039253265e-05
Entry398_23	0.00016982183944585117	0.00038310751955222307	0.0	0.0	1.970553810558431e-05	8.772379008480199e-05
slr0857_264	0.0014513672181848084	0.001982501377292876	0.0009506152128935086	0.0006865928582041696	0.0008908262226352081	0.001293983830183796
cmpB_4	2.096501050089561e-05	0.0	0.0	0.0	0.0	2.456080757788962e-06
yefA_79	7.692424905591773e-05	0.0	0.0	2.9457779394898365e-05	0.0	0.00010023589960561367
sll1654_98	8.422784920535254e-05	7.443384258709627e-05	0.0	0.0002534663875407189	0.0	4.8750885984792224e-05
ssl1911_59	0.00025825319952857623	0.0	0.0	0.0005247369274629697	0.00012638724440133386	0.000363082881835406
moeA_64	0.00014712288070803937	0.0	0.000161219692331825	0.0001599136595723054	0.0002208379270453414	0.00018805237198316242
Entry1134_42	0.0001696642077879497	0.0	0.00023638292727031095	0.0002660911501385325	0.00010566245432477105	0.00028652730802658776
slr0697_20	7.398179144175695e-05	0.0009676399536322515	0.0	0.0	1.3929776936706151e-05	0.00014268438968362667
sll1052_61	0.00010955400224152217	0.0	0.00013652838810082477	0.0	1.596828087866315e-05	0.0002243838307398897
ndhF_43	0.00013120208325999083	0.0	0.0	1.748044052004958e-05	1.732728350663448e-05	0.00012655767074569162
smpB_250	9.258232707413049e-05	0.0	0.0	0.00014405177835966784	5.436010511885327e-05	0.0001826767990038507
ssr6026_5	0.0002009803638243752	0.00013953010635502276	0.0	2.2659830303767975e-05	4.4167585409068286e-05	0.0001620549888676981
Entry533_36	5.0915025502175055e-05	3.494922358032119e-05	3.8852493422309176e-05	0.0	0.0	3.382903685256495e-05
Entry125_33	8.443802474922117e-05	0.0	0.0	1.9422711688943978e-05	1.8006784820620147e-05	3.8787539514516246e-05
Entry1621_73	0.0001281545378738957	0.0	0.00023202563828836974	9.549499913730789e-05	1.4269527593698984e-05	0.00016622569204130202
ssr6062_81	0.00011554400524177806	0.0	0.00044044929459122455	1.1977338874848786e-05	0.0	4.295824268812015e-05
sll1673_59	8.738048236338195e-05	0.0	0.0004876532585622544	6.021040623572633e-05	0.0	0.00010153345170406822
slr0583_64	0.00013813787620765554	0.0	6.499622731395648e-05	8.092796537059991e-05	0.00010736120760973522	0.00012400890769515588
slr0230_97	0.0004907073510472784	0.00011845385702032524	0.0002349304976096639	0.0002777447771518989	5.5719107746824605e-05	3.6933893659581185e-05
sll1334_149	3.714852737877994e-05	0.0	0.0	7.86619823402231e-05	0.0	1.6034036645188317e-05
sll1219_47	7.014608776615448e-05	0.0	0.0	2.3307254026732774e-05	0.0	6.733368568051626e-05
sll1965_76	5.811353787967555e-05	0.0	4.720396397102984e-05	9.808469402916708e-05	0.0	5.1253307888954565e-05
