sgRNA	Lib36_gDNA	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2	Lib66_gDNA
ssr3129_17	1397	5	3	72	72	492
Entry947_29	6769	1459	54	3102	476	13494
ftsH_89	123	0	0	1	6	57
sll1942_101	3563	10	4	26	65	5736
slr5111_27	1654	21	172	293	195	2841
slr1800_19	2453	811	105	228	40	3719
Entry788_25	4147	219	1365	1368	128	4590
slr0318_38	1150	12	300	50	116	936
proA2_10	0	0	0	0	0	0
ssr1562_30	1445	1	1	12	21	1944
fhuA2_70	1323	2	152	16	16	1824
slr1886_13	1575	593	1	6	29	543
sll0630_52	2000	3	2	19	30	2927
sll1319_158	502	2	2	185	912	318
sms_34	1429	4567	476	1077	32	2552
Entry1346_50	1125	59	233	131	4	145
gabD_32	1822	2	1	324	31	2396
sll1169_103	3568	13	1786	187	891	4840
Entry2084_8	362	2	0	10	26	312
sll2008_85	5589	126	52	322	591	5557
Entry704_74	2273	9	2	204	48	2023
Entry2056_0	1883	3	1033	674	22	2932
desC(des9)_141	1385	24	8	123	262	1817
sll0263_10	549	0	104	12	5	272
exsB_60	3674	16	2345	3901	288	4137
sll0564_37	2943	11	5	238	210	1598
sll0493_62	1296	12	1	48	145	1537
sll7078_79	858	3	0	177	19	938
sll0141_67	1953	3	1956	1021	39	3443
sll0163_59	3604	2159	1232	277	63	3180
slr1276_4	875	3548	228	641	15	1541
sll0208_3	755	1	1	6	12	1730
rpl12_149	557	2	1	6	29	43
lysC_124	690	2	171	1	2	391
petC2_136	1393	4	2	36	29	2460
Entry1062_156	2032	25	9	446	277	2443
sll0981_97	2011	22	12	167	1067	556
Entry862_46	2123	2	200	42	47	3445
sll1300_7	884	2	4	66	24	560
sll1200_86	1442	6	3	512	73	366
slr1066_147	970	3	0	188	6	117
slr1870_3	2508	4	0	940	36	2336
slr1073_7	1490	0	12	258	9	309
fmu/fmv_73	958	3	484	66	1	198
sll7028_34	2272	10	8	231	168	3943
ssl1255_28	509	4	16	7	240	159
sll5042_139	1520	2	2	65	90	306
Entry1990_9	1117	2	0	5	490	411
slr1908_13	64	0	0	0	1	69
Entry105_22	530	0	0	1	4	65
atpG_16	1166	9	3	36	123	1281
slr1932_10	1556	3	0	981	19	1239
fabZ_15	243	1	2	4	18	581
Entry442_38	1236	2	0	29	19	692
slr1992_3	2714	3	1791	35	44	2646
cobN2_75	2276	1934	3	18	47	4599
slr2012_14	1442	10	0	43	131	1678
sll0595_14	2045	64	2	326	81	3285
Entry53_30	1119	21	21	339	269	2229
Entry202_66	932	71	0	2	2418	384
Entry636_23	2354	18	803	1402	80	2456
sll0426_8	838	0	0	2	6	207
slr1626_27	1391	3	0	53	14	969
mltA_17	1283	2	0	8	13	1203
slr0751_71	3022	55	27	272	137	6332
sll1330_35	2382	2	5	27	8691	1996
lepB2_58	4351	14	537	264	75	1235
slr6042_35	1060	1	32	12	25	1281
sll0174_45	711	2	4	9	23	147
pcnB2_9	569	0	40	6	8	770
slr2010_11	3005	1	242	324	1011	4206
slr0241_55	2835	6	158	655	66	2369
Entry814_6	3348	4	469	67	44	1011
Entry2037_106	4532	105	684	1432	1305	9128
pheA_30	374	1	0	9	15	284
folD_7	2559	5	0	12	18	1875
dacB_30	1559	2	0	3	11	1835
slr1117_56	1733	6	1027	35	89	1822
Entry1254_90	2190	2	5	319	85	2112
slr1760_15	704	1	0	8	5	62
slr1855_126	971	264	0	19	17	2028
codA_21	2362	1	1	664	34	4522
ssr5074_149	581	4	634	1	5	420
slr1708_8	1664	60	720	278	44	1391
sll0659_54	1580	1	49	102	35	3121
clpP_22	162	0	1	70	23	411
pyrR_41	2374	6	126	1361	61	2846
Entry1142_1	1889	3	1301	114	18	1943
slr1837_4	245	2	322	0	5	526
sll1851_60	1166	0	27	181	13	1135
Entry976_22	679	4	3	28	60	395
sll0267_15	2064	17	295	424	418	1463
slr1668_76	1927	19	8	100	260	4438
slr0341_45	7289	814	44	482	770	9958
Entry855_66	1936	3	15	18	32	2007
Entry1368_5	1678	2	2	40	2967	2210
Entry1450_9	125	0	0	0	0	44
aat_58	2664	3	296	108	85	3406
Entry632_47	8051	4330	201	339	407	11549
sll0175_27	1406	6	2	726	28	3038
groES_135	1068	0	3	410	13	1006
hsp17_44	1267	2	297	6	24	1917
Entry1952_25	1077	2	2	14	42	1729
Entry444_37	1613	23	1040	90	261	3227
hemA_93	1194	2	0	3	8	186
sll1786_59	525	2	0	14	18	946
Entry1735_52	3980	138	386	108	153	6328
sll0996_10	1007	2	0	70	21	1672
Entry187_39	5998	18	63	730	2671	1972
sll1710_260	20736	8307	2510	2123	6504	36159
sgl0001_39	1093	7	4	22	1297	1891
slr0496_31	755	2	920	4	11	852
icsA_27	1237	10	36	218	230	2175
sll1271_26	1425	1302	2	26	1113	1001
slr0957_16	250	15	0	2	3	370
sll1157_154	42	0	1	2	1	151
ssl2250_17	2576	4	1210	804	37	3220
gltX_22	1046	2	0	271	8	351
sll1595_84	1974	381	186	181	26	2716
Entry1535_58	1003	4	2	40	50	611
slr0169_29	1064	4	27	864	49	1890
sll0793_130	505	8	2	39	112	841
sll1273_68	1619	12	8	449	338	3479
slr0951_15	2274	12	338	223	244	1122
cpcG_89	383	0	0	1	8	460
ssr5117_24	42	0	0	3	7	132
ape2_22	1414	11	1	11	27	1330
Entry964_42	1341	160	6	148	257	1390
ccmK2_38	2034	9	7	89	111	786
Entry1246_0	1235	2	0	11	27	3164
slr2038_3	1872	4	804	22	79	863
slr0800_20	4763	19	171	918	192	6969
icfA2_25	989	8	2	22	51	573
Entry1007_3	1734	283	111	1390	6988	1702
sll0173_22	1625	2702	5	96	55	2066
Entry658_27	1937	81	1	37	69	3510
ureC_17	3423	46	596	3599	526	5161
Entry1255_40	1762	12	5	445	160	3942
Entry103_38	1601	9	4	76	162	3239
Entry1516_2	2540	34	28	813	49	1557
Entry1513_63	1049	3	649	247	16	915
hemK_19	2085	4	3	31	68	1180
slr0725_61	1284	7	1	15	35	1480
slr0196_4	2645	5653	29	38	58	2848
Entry2070_2	3202	9	2	1030	38	4285
rpl27_4	130	0	0	17	1	310
sphX_35	1090	5	0	329	40	921
Entry1124_73	7265	30	65	1084	1913	7126
Entry1842_7	2888	48	1118	118	991	1598
slr1384_81	1570	6	0	288	46	1857
sll0191_25	2148	2277	102	112	34	4136
tar_27	1780	47	16	144	98	1652
slr6084_25	2552	4184	838	315	31	3182
Entry186_48	3846	19	9	753	360	5341
slr0114_8	1619	2	134	204	2784	535
slr0073_37	3743	15	39	314	332	397
kdpA_41	837	4	14	23	35	553
sll1469_165	139	0	0	4	1	592
Entry190_2	1229	2	0	129	12	1090
sll0280_19	1761	5	3	13	37	2851
slr0589_98	1401	4	0	103	54	280
purE_55	1331	240	2	284	49	1374
Entry827_0	962	1	0	486	13	543
ilvN_42	1128	2	3	90	35	387
slr0076_44	1257	37	17	127	435	534
Entry1699_41	1782	0	0	24	574	2043
ssl2733_51	1409	2	17	39	29	2778
psbD_290	2108	4	2	14	35	1847
Entry1027_2	1658	0	924	1223	378	777
clpB_15	1061	1	383	4	4	489
sll0816_10	2730	805	594	340	45	3850
Entry733_7	1197	2	1	351	25	2510
Entry123_14	951	2	0	576	18	1042
sll7047_8	3641	9	38	354	683	3610
Entry1516_45	2462	4	26	219	35	4469
slr1398_112	618	2	0	9	17	2262
rps18_45	714	18	7	70	202	842
mtfB_202	2538	17	4	579	131	3146
ssr6032_73	1711	3	0	6	9	198
Entry1113_32	1433	12	2	204	354	1594
apcD_31	3846	19	9	753	360	5341
trxA3_10	146	104	1	2	5	143
slr0686_17	848	2	1	52	26	458
Entry773_65	2075	7	1	48	81	3670
sdhB2_78	122	0	0	1	1	218
Entry1439_80	1573	3	4	12	26	2150
mutS2_138	2039	15	11	160	214	4296
hlyB_10	1507	2	0	117	10	1581
Entry1713_3	1056	2	1210	10	10	1610
sll5131_63	15950	15375	2519	792	4289	13261
ssl0832_70	1013	3	3	445	1108	1132
rbcL_47	693	1	2	4	16	175
slr0495_30	4320	6	256	21	63	2008
slr6063_4	1690	63	1	298	27	1217
Entry781_65	2015	6	5	356	72	3657
cbiD_25	3882	23	323	1067	362	3859
Entry1893_69	1587	1	221	63	24	1871
slr1203_46	2785	15	6	39	3343	1825
sll7065_55	856	1	0	3	16	804
Entry508_41	864	4	11	16	16	1455
slr2031_70	1210	7	4	50	139	477
sll1950_14	538	771	14	8	5	64
sll1783_144	2110	6	124	311	87	5188
Entry724_55	960	3	0	28	626	898
Entry2024_39	1279	239	70	5	1348	935
ssl0350_60	2736	1578	28	181	432	2583
ESI3_24	856	1	0	6	9	292
hypB2_83	1856	5	46	449	66	3130
ureG_12	2152	4	693	62	3336	1619
Entry793_3	1476	2	738	13	20	1222
Entry398_46	1266	0	669	28	9	589
Entry1120_3	2755	3950	12	263	1477	4676
Entry1869_141	530	5	3	23	77	806
Entry730_47	1665	2081	9	758	294	1210
hisC2_32	515	5	3	30	97	375
slr1327_17	1318	8	1	91	72	1515
gltS_26	1330	11	4	2079	124	1757
Entry778_9	53	1	0	1	2	143
petF2_35	664	0	0	4	8	586
smpB_233	1192	29	179	181	435	1954
slr7102_30	1287	7	46	345	10	496
Entry107_45	1047	5	2	178	65	1149
fus4_178	1053	1	0	14	20	642
Entry12_77	1903	8	4	1193	100	3817
slr0583_44	1327	0	7	45	7	377
lepB2_44	2469	1102	132	253	691	240
Entry1085_23	1812	10	1	132	89	3314
Entry1487_37	1802	10	1755	98	115	3753
slr0398_20	2213	13	3	372	85	1910
sll0939_43	2577	8	567	286	50	2331
sll1892_7	1131	2	11	510	60	323
sll0994_24	3003	2	29	1641	152	6525
slr1413_21	1295	2	2	296	31	1079
fabG3_64	1634	1	0	272	25	2292
Entry551_52	553	3	0	20	57	542
dnaN_43	1396	218	2	433	45	1248
slr1362_60	1208	0	1	6	15	992
Entry1903_28	3113	4646	833	157	24	576
slr0401_9	6524	993	1578	204	1351	8309
sll0844_82	573	1	0	0	6	282
Entry1094_35	4700	4423	92	98	209	3871
Entry1690_12	2004	6	1	224	96	2012
ssr2201_27	2249	45	12	1044	220	2396
sll1930_211	28402	10399	3486	7143	1459	36240
slr1470_35	1072	2	1	10	34	446
Entry926_29	3519	11	8	899	166	2503
Entry1866_48	2099	225	181	391	368	320
sll1586_43	2983	19	465	439	208	5060
slr0780_23	2419	7	1234	20	43	2500
Entry140_45	2518	8	2	61	824	1540
Entry700_26	129	693	0	1	3	72
repA_55	2976	3	0	147	296	3092
Entry611_41	4776	99	3	57	77	6507
slr0092_69	3172	684	126	1066	36	2501
Entry915_39	3570	10	1558	67	47	2725
Entry605_1	1522	1	403	133	15	391
Entry1095_21	1035	2012	215	478	37	1374
Entry1008_37	1211	1530	0	244	4	112
ssr5020_66	1985	5	1280	566	55	3654
Entry498_27	860	2	0	37	6	434
slr0770_36	2351	3257	51	1652	155	670
slr7097_45	2863	15	916	1442	102	3104
Entry1691_40	842	5	701	12	7	675
sll5122_43	1229	20	4	292	202	1198
slr5018_186	1200	9	0	193	25	1809
rfbC2_45	1714	8	3	367	85	1912
Entry465_32	2116	10	85	43	121	5239
Entry40_104	8795	42	16	1886	591	31806
slr0270_9	1380	5	460	142	32	390
Entry1598_33	1696	3	91	300	24	1140
slr6045_101	1733	0	87	354	13	676
Entry1454_8	507	9	2	114	79	255
Entry523_101	1018	2	1	4	12	1008
Entry1419_0	2239	9	618	2286	149	4642
ssl7051_68	2015	1	3	1525	25	1130
slr1084_99	1920	3	35	42	83	2224
Entry1169_72	741	0	0	3	7	567
sll0301_61	2130	44	740	193	489	2340
ssl2971_181	2615	11	6	32	68	1419
nrtB_23	1174	7	227	2	15	62
lepB_22	2072	5	44	92	42	839
rpoDI_5	801	8	1	13	59	407
rpl9_136	968	2	0	310	10	365
sll6093_43	2217	10	1059	61	373	2552
gdh_59	1785	2	948	3	7	1225
Entry699_121	1292	237	193	113	10	1309
slr0605_178	2684	8544	230	2963	636	4557
ssr2439_19	869	1	0	2	6	714
crtQ_40	628	1	2	69	18	372
sll1504_82	1348	5	1549	2	12	447
yfr2b_111	2143	19	2	60	200	265
slr2144_9	1541	415	2	464	17	2041
slr1882_101	3458	11	852	636	117	3343
ssr2803_58	1376	2	1	261	16	776
Entry254_40	1559	6	186	126	88	513
Entry454_43	4231	5270	1827	168	84	4661
Entry975_90	918	0	0	50	376	727
slr0488_6	1536	16	3	38	104	545
Entry975_96	2417	344	1552	1004	179	2147
sll1660_15	2777	5	1169	85	45	5304
sll1489_33	117	1	0	1	3	75
sll1714_31	730	223	358	84	4	263
Entry56_56	490	0	0	0	2	121
slr0915_81	580	2	1	16	27	684
Entry885_63	4367	10	4	1499	106	6086
Entry166_53	1815	6804	4	282	26	989
ssr6046_30	1528	4	1059	633	23	2315
slr1177_4	442	3	286	0	5	212
Entry1147_31	3497	15	5	197	219	2066
ycf32_29	1947	9	4	32	2746	1982
Entry1969_6	1082	4	43	0	15	1410
sll1860_451	20736	8307	2510	2123	6504	36159
sll1158_55	848	21	0	3	8	352
Entry653_0	1073	6011	2	181	29	1857
slr1467_64	1344	2	7	60	43	1754
Entry32_89	3921	4	3	36	76	4315
Entry1456_15	1369	1	0	84	9	507
TU728 (nsiR6)_37	2710	6	456	950	54	1803
sll5061_18	1672	3	1	158	30	2016
Entry995_15	1107	1	1	2	12	643
Entry1928_3	1466	2	1	20	55	2785
sll0752_27	1551	26	6	132	384	2996
ssr2060_76	1380	1	0	10	20	2383
Entry790_81	1881	2	480	9	130	1410
Entry315_28	2317	2	1	49	33	931
hisH_13	904	8	4	25	61	2001
Entry1182_29	2043	3	87	238	365	5438
slr1425_20	2441	25	8	318	322	1070
Entry2068_42	1358	4	0	1452	25	2983
slr1712_399	1238	236	4	241	269	2367
lytR_74	1112	0	31	250	17	842
sll1401_56	1239	0	132	4	17	177
Entry1317_76	851	3	836	8	17	1208
Entry1617_49	2356	8	3	133	73	5054
Entry117_103	1221	2	3	590	246	2165
miaA_4	1132	0	1	11	34	857
cpcF_58	4239	8	1268	168	3150	1993
nCl0710 (CoiR1)_23	2858	2	1	42	41	2176
Entry1314_29	1245	2	1	94	15	716
dnaJ3_46	723	9	2	27	95	157
sll0005_31	1402	2	1	40	38	5095
Entry1715_23	1384	12	4	313	195	1275
sll6069_144	2111	157	1255	9	29	2847
slr0654_13	4195	7	3	22	603	2119
Entry245_34	928	2	27	3	2	968
slr0023_9	2461	516	583	22	57	1015
sll1062_226	1479	1	283	50	42	1362
sll1511_20	699	2	1	8	6	942
sll5014_21	1605	1	120	2	47	970
Entry272_51	1719	7	1288	14	22	1651
pheT_28	663	2	2	6	20	720
slr0740_106	1059	2	0	211	16	881
Entry1983_24	1004	1083	12	8	20	1809
Entry2029_2	1622	48	12	62	168	738
slr0810_88	2237	7	1733	151	1476	3255
sll0898_4	2282	51	377	227	629	5350
Entry1123_88	1517	18	645	556	253	1329
Entry1514_2	1599	4	144	36	84	2216
Entry830_99	569	0	1	2	9	979
Entry463_34	2603	475	297	109	11969	1866
rpl17_55	47	0	1	1	0	127
sll5080_63	471	2	612	4	10	714
Entry935_68	2347	9	302	74	102	517
Entry1879_50	1186	1	0	8	16	1034
slr0476_58	1323	961	5	128	484	1781
sll1389_12	1557	10	36	257	1520	1212
Entry1295_60	411	3	0	4	18	484
Entry2063_31	4056	66	16	1348	791	4761
slr1829_19	4722	41	7	363	244	5497
Entry845_30	805	3	1	16	22	658
sll0864_253	652	1	0	2	3	140
slr1752_13	1458	5	1	25	39	820
rpoD3_47	5107	10	1407	3684	310	7580
sll0671_63	1680	4	9	53	35	2334
alr_40	2432	29	1	12	20	3142
sms_10	5922	8	437	2115	1256	7126
sll5130_159	1120	11	809	105	2028	2415
psbA1_10	1689	2	17	116	18	1019
hisC_62	3703	1249	1	380	55	2584
Entry1518_69	4525	1188	141	3611	150	7814
ssl8028_116	1535	768	2	334	72	2135
vapB_22	4672	12	613	201	1962	10113
sll0862_96	1573	26	5	106	282	345
slr0106_88	2634	9	238	184	60	1687
sll0691_63	3431	68	2	209	114	4787
sll0066_40	293	0	0	0	2	176
Entry1487_9	2884	7	834	97	388	3533
slr1101_37	1253	6	0	42	93	2264
desC(des9)_126	488	2	2	16	31	804
Entry1636_67	1310	12	627	28	94	646
Entry1850_28	1280	7	81	86	56	1992
rps3_32	419	0	0	8	15	581
ssl1378_9	1387	0	0	4	760	1382
hisD_16	2991	5	210	30	45	4721
sll8017_13	366	5	572	9	31	1351
Entry150_21	866	679	1	75	12	324
Entry2054_91	2340	5	480	11	34	1842
ssr2422_161	3207	18	8	278	248	416
nblA_83	1037	3	189	62	42	1950
sll1574_4	2947	2136	4	1288	67	5001
slr6095_141	1882	18	10	1830	797	4336
Entry657_32	1709	2	0	979	41	2947
sll1020_152	3481	1864	802	252	215	5129
fmu/fmv_50	5336	22	2920	304	257	9869
Entry1849_9	188	0	0	0	1	249
slr0602_7	1072	5	39	167	19	202
slr2017_40	775	201	165	13	2	82
sll7087_62	1223	5	2	3	10	1227
psbU_13	1197	6	1	817	57	2083
Entry256_5	1128	2	0	1704	17	1206
sll1624_46	6186	42	449	1448	2280	11036
sll8011_33	1604	9	237	93	94	3885
Entry618_101	2133	11	270	608	139	3291
rpl24_21	1254	4	2	8	68	1088
rpoD_18	1869	60	1280	223	225	3465
Entry2080_35	1723	0	0	156	9	526
slr1161_88	1798	0	0	731	28	2279
slr1846_6	1208	1	1	82	17	713
slr0250_37	1854	5	1	15	899	928
sll1559_79	1691	15	2	75	770	1657
Entry68_50	5107	17	205	543	169	838
Entry1378_30	1078	7	1	12	40	1107
sll1531_9	2362	3	118	441	22	781
Entry586_25	2274	8	828	33	90	2563
sll1138_102	1140	7	7	37	85	421
slr0482_12	1193	2	16	498	584	301
Entry735_46	4087	5659	16	930	516	2930
sll0797_143	1246	1	266	13	17	1451
SyR7_153	2912	2122	51	695	187	3434
slr1913_22	1232	4	2	18	42	1503
ssl1326_64	1371	20	317	228	3948	1331
sll1825_50	1208	10	7	60	143	2236
slr1068_48	1150	1	0	95	11	822
slr1230_54	1282	6	136	342	1362	1793
deaD_22	715	0	0	9	20	1029
slr0142_31	2965	373	41	243	186	3140
petG_42	1620	21	6	113	250	2106
Entry266_29	131	0	1	0	1	191
Entry1263_40	1509	0	41	23	271	1069
ssl1378_39	3349	9178	11	951	324	5197
rps13_23	608	1	61	4	11	555
sll0473_40	732	1	68	171	5	318
zam_109	1479	5	197	11	23	4438
sll1472_37	194	0	0	2	1	53
ssr3571_39	1466	1	806	17	3748	134
aroK_4	562	1	0	1	10	276
slr1493_5	4619	7	28	370	122	10572
mgtE_33	600	2	0	66	1	201
slr1142_75	1816	3	55	85	40	1782
